Onyomi,Radicals,% (of kanji having this radical) that have this onyomi,% (of kanji having this onyomi) that have this radical,Examples
缶,ヨウ,58.333,5.932,窑窰媱傜瑶
缶,トウ,41.667,2.212,祹綯淘匋掏
羅,ショウ,100,0.59,鐘庠松瀟詔
羊,サ,35,9.722,槎搓縒瑳傞
羊,ヨウ,40,6.78,漾羊劷徉垟
羊,セン,25,1.553,僐膳羶羴墡
羽,キュウ,54.545,25,樛噏翕歙璆
羽,トウ,45.455,2.212,溻搨榻塌翿
老,シャ,29.412,50,褚偖煮撦奲
老,キョウ,41.176,2.318,教宯侾庨漖
老,コウ,29.412,1.279,哮烤栲栳考
老,キョウ,58.333,2.318,頃皎恭狡蕎
老,コウ,41.667,1.279,鑛咬巧絞胱
而,ジ,100,100,洏胹耏栭粫
而雨,ジュ,100,50,孺薷濡嬬懦
耳,シュ,27.273,12.245,取娵娶湒聚
耳,サイ,27.273,2.597,穝冣嘬最斊
耳,ショウ,45.455,1.181,懾聖欇聲囁
聿,ケン,100,2.612,建揵健徤犍
臣,カン,100,2.261,檻臤孯慳掔
舌,テン,100,9.091,甜恬湉舔餂
舛,リン,100,13.559,僯橉粦粼嶙
艮,ロウ,100,58.333,桹狼埌朖朗
艾,シ,6.18,6.875,茲莿葈蓍茬
艾,トウ,4.494,3.54,蕩菪瘩苳荅
艾,サイ,5.056,3.896,葘茝葸蕞萃
艾,カ,6.18,10.185,葭樺蕐花荂
艾,ハイ,4.494,14.286,蓓茇荖蕟芾
艾,キョウ,4.494,2.649,莢莖茎憼薑
艾,ジョウ,3.933,14.286,苶蒸蕘荿莛
艾,フ,3.371,12.5,蒲葑苻芣莆
艾,ヒ,2.809,11.628,苤茯蓖茀芘
艾,ソウ,5.618,26.316,藏艸草薮桒
艾,シュウ,3.371,24,菷萩蒭芻菘
艾,ビョウ,2.809,100,荓苹庿瞄緢
艾,キ,5.056,1.295,蒺芪芑芰蔇
艾,ショウ,7.303,1.535,葙蒋荘莊葏
艾豕,ボウ,100,5.369,懞幪矇饛蠓
艾貝,フン,100,6.25,僨饙憤濆豶
艾買,ボウ,100,3.356,懜矒儚甍瞢
艾隹,カク,45,3.586,嚄彠檴獲鑊
艾隹,カン,55,2.764,爟瓘讙雚貛
艾預,ボ,100,9.804,墓慕募暮模
芥駑,ショウ,100,0.59,床井踪將橡
蕭錄,カン,100,1.256,冠寬慣棺官
虍,キョ,29.412,12.5,歔虚虗簴虡
虍,リョ,35.294,6.25,爈藘櫖勴臚
虍,ル,35.294,2.143,獹籚瓐矑纑
虫,エ,8,10.909,惠潓繐蟪憓
虫,エン,8,5.455,蝯蝘蜓蜒蜿
虫,シ,10.667,5,嗤蚳蟖媸蚩
虫,ケン,9.333,2.612,縳蠒蚿蚈襺
虫,キョウ,13.333,3.311,嵹強蔃蟜襁
虫,セン,13.333,3.106,磚蟤竱嫥槫
虫貝,カイ,100,0.606,繢聵憒嘳蕢
虫買,ショク,100,24.39,噣臅屬燭觸
虫風,ヒョウ,100,3.077,颷飃飄飆飈
衣,ジョウ,46.667,14.286,壌嬢嚷褺勷
衣,ショウ,53.333,0.945,儴蠰纕瓤裝
衣買,エ,37.5,10.909,懷懐櫰壊壞
衣買,ケン,31.25,1.866,翾獧譞儇蠉
衣買,カン,31.25,1.256,環繯懁擐寰
衣辰,シン,100,6.154,侲漘蜃振曟
西,ヒョウ,100,10.769,勡幖徱磦僄
見,ケン,100,3.731,見哯俔悓晛
覺,タン,100,23.077,檀湍緞旦疸
覺那,サイ,100,3.03,寨採砦綵菜
角,シ,27.778,3.125,觜志觗觶蟕
角,カイ,72.222,1.576,檞喟蟹蠏嶰
角預,ゴ,100,7.042,寤旿誤蜈悟
言,カ,9.877,7.407,謌詿謑譁譌
言,ク,6.173,27.778,訏訽詡詬譃
言,ショ,6.173,29.412,櫧詛藷諸諝
言,シン,9.877,4.103,訦諶譖譛訫
言,セン,16.049,4.037,幨瞻襜詹謆
言,ショウ,8.642,0.826,讋訬誚諍証
訂,テイ,45.455,100,啼堤訂帝第
訂,エン,54.545,5.455,淵烟煙延捐
課謗,ショウ,100,0.708,唱創廠倡娼
謗,シュン,5.618,10.638,竣峻濬蠢俊
謗,ユ,7.865,25.926,楡諭癒諛由
謗,シ,8.989,5,脂次此芝至
謗,イ,17.978,9.816,彛位伊萎謂
謗,ユウ,7.865,100,游宥誘攸邑
謗,ギ,6.742,100,蟻疑宜艤議
謗,ジン,5.618,100,荏刃人妊姙
謗,シン,14.607,6.667,津臻晉晋疹
謗,ショウ,10.112,1.063,性生吵唱創
謗痢,イ,100,3.067,移肄苡荑貽
謗錄,イ,100,3.681,畏倭遺懿褘
謗錡,イ,100,3.067,倚以矣洧薏
謗韋,イ,100,4.294,葦圍緯違瑋
講預,バン,20.69,14.286,挽滿卍蠻万
講預,バク,17.241,45.455,邈麥寞幕漠
講預,リ,34.483,18.519,浬犁裏唎理
講預,リン,27.586,13.559,淋燐隣躪霖
豆,エン,12.5,4.545,灔豔艷豓灎
豆,トウ,27.5,4.867,凳櫈嬁瞪墱
豆,キ,42.5,2.446,嬉憘熹巇糦
豆,カイ,17.5,0.848,榿皚凒剴塏
豕,タク,40,100,啄硺椓琢諑
豕,ボウ,60,6.04,懞幪矇饛冡
豕込,スイ,100,20.588,邃遂燧穟襚
貝,エイ,9.524,10.39,甖瀴贏癭嬰
貝,シチ,5.952,25,礩貭質儨劕
貝,イン,8.333,4.516,殞傊磒愪溳
貝,ヒン,13.095,4.661,濵嬪蠙貧繽
貝,キ,9.524,1.151,檱櫃樻貴瞶
貝,サン,15.476,1.366,攢贊瓉攅欑
貝頁,キョウ,25,1.987,廎囂熲頬頰
貝頁,ライ,29.167,1.882,纇頼瀬懶癩
貝頁,カン,25,1.508,灝頜顄顑顴
貝頁,カイ,20.833,0.606,頦頮顪湏頯
買,エ,12.5,14.545,會懷懐櫰壊
買,バン,9.375,14.286,曼幔謾墁槾
買,ショク,17.188,26.829,噣臅屬燭觸
買,ボウ,10.938,4.698,懜夣矒儚甍
買,エキ,10.938,3.125,歝睪斁襗嶧
買,ケン,17.188,4.104,翾獧羂罥譞
買,カン,10.938,1.759,環繯懁瘝擐
買,カイ,10.938,0.848,糫獪罣瓌膾
買隹,ラ,100,6.077,蘿鑼羅儸攞
赤,カク,100,2.39,爀嚇赫螫赩
走,ショウ,100,0.826,箑徢婕倢睫
足,サク,33.333,2.183,捉浞踖珿趵
足,キ,33.333,0.719,跪踦跽踑跂
足,ショウ,33.333,0.59,蹌蹡躞蹤蹭
車,シュ,10.87,10.204,堹偅輈輖輸
車,コン,15.217,26.923,渾琿褌輥轗
車,リョウ,10.87,1.667,轑輬輘軨輌
車,キョウ,10.87,1.656,軽檋轎轇軭
車,カン,15.217,1.759,煇轗輐轘輨
車,キ,19.565,1.295,楎暉揮翬輝
車,サン,17.391,0.84,磛蔪斬蹔槧
轢,ショウ,100,0.59,庄将腥宵猩
辛,ヘン,100,2.703,瓣辮辧辯辡
辰,シン,100,6.154,侲漘蜃振曟
込,ホウ,11.111,12.195,縫蠭逄邎篷
込,スイ,15.556,20.588,邃遂燧穟襚
込,タイ,13.333,23.077,褪腿迨退达
込,イ,11.111,3.067,迆迤迱迻逶
込,ヘン,11.111,2.703,邉邊辺遍籩
込,トウ,15.556,3.097,遝迯逃逿樋
込,セン,11.111,1.553,迁選遄遷躚
込,カン,11.111,1.256,遑迀遦還逭
那,サイ,100,3.463,妻寨採砦綵
邦,ロウ,21.739,41.667,螂瑯榔嫏廊
邦,ダ,21.739,100,挪那蔀哪梛
邦,ホウ,21.739,12.195,帮綁梆邡鄷
邦,キョウ,34.783,2.649,嚮蠁郷筇邛
酉,ユ,53.846,25.926,輏梄猶輶蕕
酉,シュン,46.154,12.766,墫竴蹲醇嶟
釆,ハン,100,12.121,旛翻繙旙蟠
里,シュ,54.545,12.245,徸橦穜腫罿
里,テン,45.455,9.091,纏鄽廛瀍躔
里預,リ,100,11.111,里浬裏理俚
里黒,ボク,45.455,25,纆濹默黙墨
里黒,アン,54.545,13.636,黶黯黤黬黭
金,シ,8.28,8.125,鎡鉂鉃鉇鉰
金,カ,5.096,7.407,鋘銙鈳錵鈥
金,リュウ,3.822,7.692,鏐鎦鐂鎏嚠
金,シュ,4.459,14.286,鏉鏦鍾銿鏅
金,ジョウ,3.822,12.245,鋥鉩鑲鑷錜
金,フ,3.185,10.417,鈇鋪釜釡鍑
金,ケン,4.459,2.612,釼鋧鉆鉉鎌
金,ハク,3.185,41.667,鎛釙鉑鑮釽
金,キョウ,5.732,2.98,鐈鉸鏹銎釗
金,テツ,3.185,100,鉄銕鐡鐵鋨
金,カン,7.643,3.015,錧嶔鋡釬銲
金,ショウ,8.28,1.535,鉦銷鍤鎗鉊
金,サン,5.732,0.945,鐏鐕鏟鑱籛
錄,オウ,5.036,4.861,尣王凹往夭
錄,シ,6.475,5.625,只示紙市漬
錄,イ,4.317,3.681,畏倭遺懿褘
錄,エン,6.475,8.182,豌轅猿苑爰
錄,エイ,5.036,9.091,罌兌塋榮永
錄,トウ,5.036,3.097,塘瀆螳鐙藤
錄,ジョウ,4.317,12.245,壤捻丈擾禳
錄,シュ,4.317,12.245,手狩銹朱戍
錄,ホウ,4.317,14.634,峯報琺崩訪
錄,ソウ,4.317,15.789,瘙臧燥漕輳
錄,シュウ,3.597,20,囚宗潗嵩亼
錄,キョウ,5.036,2.318,喬撓竅驚怯
錄,カン,10.791,3.769,浣煖冠寬敢
錡,ソウ,6.757,13.158,藻增爽卡嫂
錡,ウ,9.459,21.875,盂羽玗釪迂
錡,シ,14.865,6.875,嗜施詩思沚
錡,リョウ,16.216,4,燎良伶羚聊
錡,ショウ,16.216,1.417,觴檣翔墻裳
長,チョウ,100,20,餦悵脹漲賬
門,ラン,25.532,12.245,爤欗攔瓓籣
門,エン,10.638,4.545,閻爓覵闤闉
門,トウ,12.766,2.655,閙闘躢閬閶
門,コウ,10.638,1.279,閌闔閧閘閤
門,カン,40.426,4.774,矙癇闞嫺嫻
阡,イン,100,8.387,癮阥隕隱廕
陋,エイ,100,10.39,瀛瀯英盈詠
隶,タイ,100,19.231,埭曃棣隶逮
隹,エ,6.25,12.727,匯雟觿淮觹
隹,シュン,6.25,14.894,隼鎨儁懏寯
隹,スイ,5.357,17.647,誰錐推椎璀
隹,ク,6.25,38.889,懼癯臞瞿衢
隹,ワク,4.464,50,艧矱篗籆濩
隹,サイ,10.714,5.195,隹皠鏙槯催
隹,カク,18.75,8.367,貜钁嚄彠檴
隹,カン,14.286,4.02,爟瓘趯讙雚
隹,ショウ,12.5,1.653,撨焦譙穕嶕
隹雨,カク,100,2.789,礭臛霍靃攉
隹預,ヨウ,100,4.237,癰燿耀曜擁
雨,ジュ,30,50,孺薷濡嬬懦
雨,ウン,12.5,25,蕓雲澐橒繧
雨,カク,17.5,2.789,礭臛霍靃攉
雨,リョウ,25,3.333,靈霊霛櫺醽
雨,ライ,15,1.613,擂鐳靁檑礌
青,ショウ,100,1.417,清錆青菁精
非,ヒ,55.556,34.884,剕菲悲蜚匪
非,ハイ,44.444,21.429,棑徘裵輩啡
革,ハ,31.579,54.545,靶覇霸壩欛
革,キン,36.842,5,厪廑殣斳慬
革,トウ,31.579,2.655,鞀鞉鞜鞳鞱
韋,イ,100,10.429,幃葦闈韙圍
韭,セン,100,1.863,籖籤孅殱纖
音,アン,21.739,11.364,暗諳闇喑偣
音,キョウ,21.739,1.656,響獍鏡竸境
音,ショウ,56.522,1.535,嶂瘴障樟獐
頁,キョウ,25,1.987,廎囂熲頬頰
頁,ライ,29.167,1.882,纇頼瀬懶癩
頁,カン,25,1.508,灝頜顄顑顴
頁,カイ,20.833,0.606,頦頮顪湏頯
預,ボウ,9.043,11.409,帽朦罔冒忙
預,ヨウ,11.17,17.797,溶癰窯要燿
預,ブ,3.723,7.527,侮舞毋蕪无
預,リュウ,6.383,15.385,瘤瀏柳留流
預,ゴ,5.851,15.493,吾五午寤旿
預,リン,7.447,23.729,淪侖輪淋綾
預,リ,9.043,31.481,里李浬犁裏
預,ボ,4.787,17.647,牡墓拇慕母
預,ビ,3.191,11.765,寐美眉微嵋
預,フ,3.191,12.5,咐婦富負誣
預,バン,3.723,16.667,挽滿卍瞞蠻
預,ユ,3.723,25.926,涌湧雍饔埇
預,バク,3.191,54.545,邈貌麥寞幕
預,バイ,4.255,100,邁昧梅每坆
預,ミョウ,2.66,100,茗名命明螟
預,ベン,2.66,100,冕瞑勉娩眄
預,バツ,2.66,100,末襪沫茉靺
預錄,ビ,31.25,9.804,未尾媚渼楣
預錄,エン,31.25,4.545,豌轅苑瑗琬
預錄,オウ,37.5,4.167,王凹往夭旺
預駑,ボウ,100,3.356,孟牟卯邙貿
頭,カ,36.842,6.481,跨價家過假
頭,コウ,31.579,1.535,庚慷岡寇攷
頭,カン,31.579,1.508,串灌甘揀澗
顧,ラン,100,7.143,亂卵儖欄爛
風,ヒョウ,100,3.077,颷飃飄飆飈
馬,タ,19.231,50,駞駝馱騨駄
馬,バ,23.077,100,螞馬碼瑪嗎
馬,ヒョウ,19.231,2.564,慿憑馮驃凴
馬,ケン,19.231,1.866,駽騐験驗騫
馬,キョウ,19.231,1.656,駉騂駫驕驍
駑,ヨウ,14.634,5.085,葉踊鎔痒壅
駑,ボウ,12.195,3.356,孟牟卯邙貿
駑,イン,12.195,3.226,印淫蚓贇姻
駑,キ,17.073,1.007,祈龜器奇兾
駑,カイ,17.073,0.848,皆艾愷乖届
駑,ショウ,26.829,1.299,床井嘗星奬
高,カク,37.5,3.586,歊熇碻毃謞
高,コウ,62.5,3.836,嚆高稾藁犒
鬲,カク,100,1.992,鬲膈槅翮鎘
鬼,キ,46.667,1.007,餽魌魕鬼媿
鬼,カイ,53.333,0.97,塊隗傀瘣瑰
魚,チョウ,10.638,12.5,鰈鰨鮉鯛鮿
魚,シ,10.638,3.125,魳鰤鰣鯔鰦
魚,イ,12.766,3.681,鮪鯷鮐鮧鰄
魚,セン,17.021,2.484,鱔蘚鮮鱻鱄
魚,カン,12.766,1.508,鯇鰀鰥鰔鱞
魚,カイ,12.766,0.727,鮭薊鮠鱠魪
魚,ショウ,23.404,1.299,鮏鱶鰷鮹鯧
鳥,チョウ,10,15,窵蔦鳥鵰隝
鳥,ウ,15,28.125,嗚歍烏鰞隖
鳥,オウ,13.333,5.556,鷹鴎鷗鴨鴬
鳥,シ,13.333,5,鴟鵄鴲鶿鷥
鳥,カク,11.667,2.789,鶴靎靏鶮鷇
鳥,キョウ,11.667,2.318,梟鴞鶊鵟鵊
鹿,ロク,50,25,簏鹿轆漉麓
鹿,キン,50,3.571,攟麕攈麏麇
麻,マ,58.333,25,蔴麻嘛摩磨
麻,ビ,41.667,9.804,縻穈糜醿蘼
黄,オウ,39.13,6.25,熿鐄黄黌瀇
黄,コウ,60.87,3.581,壙懬懭礦廣
黒,ボク,45.455,25,纆濹默黙墨
黒,アン,54.545,13.636,黶黯黤黬黭
齊,サイ,100,4.762,臍躋齊齎濟
龠,ヤク,100,0.951,龥鑰龠籲禴
